NOM_SITE,Annee,Mois,Temperature,Salinite,Oxygene,pH,NH4,NO3,NO2,PO4,SiO4,COP,MES,CHLA,DN15,DC13,CN
pK 67,2006,4,12.86,16.57,6.115,7.965,1.41,32.21,0.05,0.28,47.1,975,129.4,0.82,NA,NA,NA
pK 67,2006,5,17.21,21.245,5.645,8.145,NA,NA,NA,NA,NA,520,89.35,1.61,NA,NA,NA
pK 67,2006,6,18.395,21.675,5.825,8.16,1.51,44.7,0.35,0.97,37.72,580,47.6,1.09,NA,NA,NA
pK 67,2006,7,21.64,23.91,5.225,8.175,1.22,20.7,0.46,0.52,22.68,0.83,56.2,3.38,NA,NA,NA
pK 67,2006,8,20.435,27.005,4.925,8.005,2.52,24.71,1.82,1.26,13.72,845,67.65,1.52,NA,NA,NA
pK 67,2006,9,20.61,26.035,4.905,8.115,1.06,17.42,0.69,1.17,17.4,790,156.4,2.35,NA,NA,NA
pK 67,2006,10,20.15,25.95,5.02,8.08,0.39,40.92,1.75,1.14,28.18,0.305,9.7,1.18,NA,NA,NA
pK 67,2006,11,14.325,22.545,5.565,8.185,0.29,42,1.56,0.99,30.98,600,65.8,0.55,NA,NA,NA
pK 67,2007,1,8.61,24.19,7.57,8.37,0.71,51.02,0.18,0.92,52.5,1100,68.8,0.42,5.36,-23.96,8.55
pK 67,2007,3,11.39,8.03,6.69,8.13,0.95,128.8,0.1,1.51,119,530,44.3,0.33,5.23,-25.52,7.42
pK 67,2007,4,12.54,16.645,6.435,8.215,1.36,68.4,0.07,0.92,32.5,1190,91.7,1.35,5.09,-24.795,8.085
pK 67,2007,7,19.73,18.725,5.43,8.145,3.45,91.9,0.12,1.73,85.1,590,122.05,2.99,5.39,-24.93,8.745
pK 67,2007,8,20.26,21.865,5.115,8.18,1.26,29.9,0.77,1.12,33.1,480,18.85,1.57,4.595,-25.51,8.335
pK 67,2007,9,19.15,24.315,5.175,8.225,0.86,28.1,1.05,0.93,28.9,430,62.65,1.49,5.975,-24.8,8.535
pK 67,2007,10,16.69,24.15,5.4,8.08,0.55,31.7,0.95,0.98,32.5,680,119.1,0.42,5.745,-24.605,8.9
pK 67,2007,11,12.63,22.965,6.195,8.055,0.71,38.4,0.82,0.91,40.8,645,90.95,0.42,5.375,-24.43,8.89
pK 67,2008,1,9.45,20.42,6.93,8.2,2.05,59.9,0.16,1.14,49.7,2120,125,0.69,5.22,-24.75,8.95
pK 67,2008,3,11.09,26.17,6.36,8.25,3.29,52.7,0.17,1.26,35.1,860,37.3,1.1,11.41,-24.08,6.33
pK 67,2008,4,12.16,14.69,6.525,8.115,1.25,48.5,0.31,1.14,55.7,780,55.7,0.5,6.53,-24.8,8.48
pK 67,2008,5,17.27,13.475,5.61,8.145,2.36,66.6,0.16,1.15,64,380,28.65,0.64,4.985,-25.205,7.765
pK 67,2008,6,18.32,11.08,5.365,8.13,2.42,55.1,0.24,1.59,100.9,1000,68.4,1.74,7.49,-25.74,3.41
